fips,name,state,t_z,cnty_type,countyseat,name_type,elevation,perns_hous,population,area_sq_mi,households,white,black,hispanic,incom_hhld,house_val,visn
01001,AUTAUGA                  ,AL,6 ,B,PRATTVILLE                  ,C,193  ,2.73,43671,596,16003,35221,7473,610,38260,58600,07
01003,BALDWIN                  ,AL,6 ,B,BAY MINETTE                 ,C,278  ,2.54,140415,1597,55336,122366,14444,2466,37162,64300,16
01005,BARBOUR                  ,AL,6 ,D,CLAYTON                     ,C,596  ,2.79,29038,885,10409,14887,13451,478,27603,40200,07
01007,BIBB                     ,AL,6 ,D,CENTREVILLE                 ,C,224  ,2.81,20826,622,7421,15966,4624,210,29692,38300,07
01009,BLOUNT                   ,AL,6 ,B,ONEONTA                     ,C,885  ,2.65,51024,646,19265,48512,606,2718,35623,45800,07
01011,BULLOCK                  ,AL,6 ,D,UNION SPRINGS               ,C,528  ,2.94,11714,625,3986,2958,8564,322,22231,31400,07
01013,BUTLER                   ,AL,6 ,D,GREENVILLE                  ,C,423  ,2.55,21399,777,8398,12492,8732,143,23988,34300,07
01015,CALHOUN                  ,AL,6 ,C,ANNISTON                    ,C,730  ,2.48,112249,609,45307,88537,20810,1753,31866,51300,07
01017,CHAMBERS                 ,AL,6 ,C,LAFAYETTE                   ,C,862  ,2.52,36583,597,14522,22271,13943,280,29260,37500,07
01019,CHEROKEE                 ,AL,6 ,D,CENTRE                      ,C,658  ,2.47,23988,553,9719,22268,1330,204,29839,44100,07
01021,CHILTON                  ,AL,6 ,D,CLANTON                     ,C,599  ,2.59,39593,694,15287,34330,4200,1152,31970,42500,07
01023,CHOCTAW                  ,AL,6 ,D,BUTLER                      ,C,172  ,2.50,15922,914,6363,8779,7027,107,26723,37600,07
01025,CLARKE                   ,AL,6 ,D,GROVE HILL                  ,C,503  ,2.63,27867,1238,10578,15589,11989,180,28044,39300,07
01027,CLAY                     ,AL,6 ,D,ASHLAND                     ,C,1130 ,2.47,14254,605,5765,11776,2238,253,28323,35300,07
01029,CLEBURNE                 ,AL,6 ,D,HEFLIN                      ,C,977  ,2.53,14123,560,5590,13380,523,198,31153,43600,07
01031,COFFEE                   ,AL,6 ,C,ELBA                        ,C,193  ,2.50,43615,679,17421,33631,8013,1183,32925,52800,07
01033,COLBERT                  ,AL,6 ,C,TUSCUMBIA                   ,C,470  ,2.45,54984,595,22461,44825,9137,618,32190,45500,07
01035,CONECUH                  ,AL,6 ,D,EVERGREEN                   ,C,258  ,2.43,14089,851,5792,7806,6136,102,24100,31800,07
01037,COOSA                    ,AL,6 ,D,ROCKFORD                    ,C,740  ,2.61,12202,652,4682,7802,4172,158,27289,35000,07
01039,COVINGTON                ,AL,6 ,C,ANDALUSIA                   ,C,349  ,2.41,37631,1035,15640,32436,4648,292,26598,35000,07
01041,CRENSHAW                 ,AL,6 ,D,LUVERNE                     ,C,366  ,2.45,13665,610,5577,10088,3388,87,25353,30800,07
01043,CULLMAN                  ,AL,6 ,C,CULLMAN                     ,C,799  ,2.52,77483,738,30706,75011,743,1688,32609,47200,07
01045,DALE                     ,AL,6 ,C,OZARK                       ,C,409  ,2.60,49129,561,18878,36541,10002,1642,31303,48900,07
01047,DALLAS                   ,AL,6 ,B,SELMA                       ,C,139  ,2.60,46365,981,17841,16496,29332,290,24005,43100,07
01049,DE KALB                  ,AL,6 ,C,FORT PAYNE                  ,C,899  ,2.57,64452,778,25113,59652,1083,3578,29364,39600,07
