app_proto,network_port,network_proto,proto,network_description,network_reference,network_known_unauthorized_use,network_notes
UNDEFINED,0,tcp,6,Reserved,,,
UNDEFINED,0,udp,17,Reserved,,,
tcpmux,1,tcp,6,TCP Port Service Multiplexer,,,
tcpmux,1,udp,17,TCP Port Service Multiplexer,,,
compressnet,2,tcp,6,Management Utility,,,
compressnet,2,udp,17,Management Utility,,,
compressnet,3,tcp,6,Compression Process,,,
compressnet,3,udp,17,Compression Process,,,
UNDEFINED,4,tcp,6,Unassigned,,,
UNDEFINED,4,udp,17,Unassigned,,,
rje,5,tcp,6,Remote Job Entry,,,
rje,5,udp,17,Remote Job Entry,,,
UNDEFINED,6,tcp,6,Unassigned,,,
UNDEFINED,6,udp,17,Unassigned,,,
echo,7,tcp,6,Echo,,,
echo,7,udp,17,Echo,,,
UNDEFINED,8,tcp,6,Unassigned,,,
UNDEFINED,8,udp,17,Unassigned,,,
discard,9,tcp,6,Discard,,,
discard,9,udp,17,Discard,,,
discard,9,sctp,132,Discard,[RFC4960],,
discard,9,dccp,33,Discard,[RFC4340],,
UNDEFINED,10,tcp,6,Unassigned,,,
UNDEFINED,10,udp,17,Unassigned,,,
systat,11,tcp,6,Active Users,,,
systat,11,udp,17,Active Users,,,
UNDEFINED,12,tcp,6,Unassigned,,,
UNDEFINED,12,udp,17,Unassigned,,,
daytime,13,tcp,6,Daytime,[RFC867],,
daytime,13,udp,17,Daytime,[RFC867],,
UNDEFINED,14,tcp,6,Unassigned,,,
UNDEFINED,14,udp,17,Unassigned,,,
UNDEFINED,15,tcp,6,Unassigned [was netstat],,,
UNDEFINED,15,udp,17,Unassigned,,,
UNDEFINED,16,tcp,6,Unassigned,,,
UNDEFINED,16,udp,17,Unassigned,,,
qotd,17,tcp,6,Quote of the Day,,,
qotd,17,udp,17,Quote of the Day,,,
msp,18,tcp,6,Message Send Protocol (historic),,,
msp,18,udp,17,Message Send Protocol (historic),,,
chargen,19,tcp,6,Character Generator,,,
chargen,19,udp,17,Character Generator,,,
ftp-data,20,tcp,6,File Transfer [Default Data],,,
ftp-data,20,udp,17,File Transfer [Default Data],,,
ftp-data,20,sctp,132,FTP,[RFC4960],,
ftp,21,tcp,6,File Transfer Protocol [Control],[RFC959],,Defined TXT keys: u=<username> p=<password> path=<path>
ftp,21,udp,17,File Transfer Protocol [Control],[RFC959],,Defined TXT keys: u=<username> p=<password> path=<path>
ftp,21,sctp,132,FTP,[RFC4960],,Defined TXT keys: u=<username> p=<password> path=<path>
ssh,22,tcp,6,The Secure Shell (SSH) Protocol,[RFC4251],,Defined TXT keys: u=<username> p=<password>
ssh,22,udp,17,The Secure Shell (SSH) Protocol,[RFC4251],,Defined TXT keys: u=<username> p=<password>
ssh,22,sctp,132,SSH,[RFC4960],,Defined TXT keys: u=<username> p=<password>
telnet,23,tcp,6,Telnet,[RFC854],,Defined TXT keys: u=<username> p=<password>
telnet,23,udp,17,Telnet,[RFC854],,Defined TXT keys: u=<username> p=<password>
UNDEFINED,24,tcp,6,any private mail system,,,
UNDEFINED,24,udp,17,any private mail system,,,
smtp,25,tcp,6,Simple Mail Transfer,[RFC5321],,
smtp,25,udp,17,Simple Mail Transfer,[RFC5321],,
UNDEFINED,26,tcp,6,Unassigned,,,
UNDEFINED,26,udp,17,Unassigned,,,
nsw-fe,27,tcp,6,NSW User System FE,,,
nsw-fe,27,udp,17,NSW User System FE,,,
UNDEFINED,28,tcp,6,Unassigned,,,
UNDEFINED,28,udp,17,Unassigned,,,
msg-icp,29,tcp,6,MSG ICP,,,
msg-icp,29,udp,17,MSG ICP,,,
UNDEFINED,30,tcp,6,Unassigned,,,
UNDEFINED,30,udp,17,Unassigned,,,
msg-auth,31,tcp,6,MSG Authentication,,,
msg-auth,31,udp,17,MSG Authentication,,,
UNDEFINED,32,tcp,6,Unassigned,,,
UNDEFINED,32,udp,17,Unassigned,,,
dsp,33,tcp,6,Display Support Protocol,,,
dsp,33,udp,17,Display Support Protocol,,,
UNDEFINED,34,tcp,6,Unassigned,,,
UNDEFINED,34,udp,17,Unassigned,,,
UNDEFINED,35,tcp,6,any private printer server,,,
UNDEFINED,35,udp,17,any private printer server,,,
UNDEFINED,36,tcp,6,Unassigned,,,
UNDEFINED,36,udp,17,Unassigned,,,
time,37,tcp,6,Time,,,
time,37,udp,17,Time,,,
rap,38,tcp,6,Route Access Protocol,,,
rap,38,udp,17,Route Access Protocol,,,
rlp,39,tcp,6,Resource Location Protocol,,,
rlp,39,udp,17,Resource Location Protocol,,,
UNDEFINED,40,tcp,6,Unassigned,,,
UNDEFINED,40,udp,17,Unassigned,,,
graphics,41,tcp,6,Graphics,,,
graphics,41,udp,17,Graphics,,,
name,42,tcp,6,Host Name Server,,,
name,42,udp,17,Host Name Server,,,
nameserver,42,tcp,6,Host Name Server,,,
nameserver,42,udp,17,Host Name Server,,,
nicname,43,tcp,6,Who Is,,,
nicname,43,udp,17,Who Is,,,
mpm-flags,44,tcp,6,MPM FLAGS Protocol,,,
mpm-flags,44,udp,17,MPM FLAGS Protocol,,,
mpm,45,tcp,6,Message Processing Module [recv],,,
mpm,45,udp,17,Message Processing Module [recv],,,
mpm-snd,46,tcp,6,MPM [default send],,,
mpm-snd,46,udp,17,MPM [default send],,,
UNDEFINED,47,tcp,6,Reserved,,,This entry has been removed on 2017-05-18.
UNDEFINED,47,udp,17,Reserved,,,This entry has been removed on 2017-05-18.
auditd,48,tcp,6,Digital Audit Daemon,,,
auditd,48,udp,17,Digital Audit Daemon,,,
tacacs,49,tcp,6,Login Host Protocol (TACACS),,,
tacacs,49,udp,17,Login Host Protocol (TACACS),,,
re-mail-ck,50,tcp,6,Remote Mail Checking Protocol,,,
re-mail-ck,50,udp,17,Remote Mail Checking Protocol,,,
UNDEFINED,51,,,Reserved,,,This entry is being removed on 2013-05-24.
xns-time,52,tcp,6,XNS Time Protocol,,,
xns-time,52,udp,17,XNS Time Protocol,,,
domain,53,tcp,6,Domain Name Server,,,
domain,53,udp,17,Domain Name Server,,,
xns-ch,54,tcp,6,XNS Clearinghouse,,,
xns-ch,54,udp,17,XNS Clearinghouse,,,
isi-gl,55,tcp,6,ISI Graphics Language,,,
isi-gl,55,udp,17,ISI Graphics Language,,,
xns-auth,56,tcp,6,XNS Authentication,,,
xns-auth,56,udp,17,XNS Authentication,,,
UNDEFINED,57,tcp,6,any private terminal access,,,
UNDEFINED,57,udp,17,any private terminal access,,,
xns-mail,58,tcp,6,XNS Mail,,,
xns-mail,58,udp,17,XNS Mail,,,
UNDEFINED,59,tcp,6,any private file service,,,
UNDEFINED,59,udp,17,any private file service,,,
UNDEFINED,60,tcp,6,Unassigned,,,
UNDEFINED,60,udp,17,Unassigned,,,
UNDEFINED,61,tcp,6,Reserved,,,This entry has been removed on 2017-05-18.
UNDEFINED,61,udp,17,Reserved,,,This entry has been removed on 2017-05-18.
acas,62,tcp,6,ACA Services,,,
acas,62,udp,17,ACA Services,,,
whoispp,63,tcp,6,"whois++
IANA assigned this well-formed service name as a replacement for ""whois++"".",,,
whois++,63,tcp,6,whois++,,,"This entry is an alias to ""whoispp"".
This entry is now historic, not usable for use with many
common service discovery mechanisms."
whoispp,63,udp,17,"whois++
IANA assigned this well-formed service name as a replacement for ""whois++"".",,,
whois++,63,udp,17,whois++,,,"This entry is an alias to ""whoispp"".
This entry is now historic, not usable for use with many
common service discovery mechanisms."
covia,64,tcp,6,Communications Integrator (CI),,,
covia,64,udp,17,Communications Integrator (CI),,,
tacacs-ds,65,tcp,6,TACACS-Database Service,,,
tacacs-ds,65,udp,17,TACACS-Database Service,,,
sql-net,66,tcp,6,"Oracle SQL*NET
IANA assigned this well-formed service name as a replacement for ""sql*net"".",,,
sql*net,66,tcp,6,Oracle SQL*NET,,,"This entry is an alias to ""sql-net"".
This entry is now historic, not usable for use with many
common service discovery mechanisms."
sql-net,66,udp,17,"Oracle SQL*NET
IANA assigned this well-formed service name as a replacement for ""sql*net"".",,,
sql*net,66,udp,17,Oracle SQL*NET,,,"This entry is an alias to ""sql-net"".
This entry is now historic, not usable for use with many
common service discovery mechanisms."
bootps,67,tcp,6,Bootstrap Protocol Server,[RFC951],,Defined TXT keys: None
bootps,67,udp,17,Bootstrap Protocol Server,,,
bootpc,68,tcp,6,Bootstrap Protocol Client,,,
bootpc,68,udp,17,Bootstrap Protocol Client,,,
tftp,69,tcp,6,Trivial File Transfer,,,
tftp,69,udp,17,Trivial File Transfer,,,
gopher,70,tcp,6,Gopher,,,
gopher,70,udp,17,Gopher,,,
netrjs-1,71,tcp,6,Remote Job Service,,,
netrjs-1,71,udp,17,Remote Job Service,,,
netrjs-2,72,tcp,6,Remote Job Service,,,
netrjs-2,72,udp,17,Remote Job Service,,,
netrjs-3,73,tcp,6,Remote Job Service,,,
netrjs-3,73,udp,17,Remote Job Service,,,
netrjs-4,74,tcp,6,Remote Job Service,,,
netrjs-4,74,udp,17,Remote Job Service,,,
UNDEFINED,75,tcp,6,any private dial out service,,,
UNDEFINED,75,udp,17,any private dial out service,,,
deos,76,tcp,6,Distributed External Object Store,,,
deos,76,udp,17,Distributed External Object Store,,,
UNDEFINED,77,tcp,6,any private RJE service,,,
UNDEFINED,77,udp,17,any private RJE service,,,
vettcp,78,tcp,6,vettcp,,,
vettcp,78,udp,17,vettcp,,,
finger,79,tcp,6,Finger,,Unauthorized use by some mail users (see [RFC4146] for details),
finger,79,udp,17,Finger,,Unauthorized use by some mail users (see [RFC4146] for details),
http,80,tcp,6,World Wide Web HTTP,,,Defined TXT keys: u=<username> p=<password> path=<path to document>
http,80,udp,17,World Wide Web HTTP,,,Defined TXT keys: u=<username> p=<password> path=<path to document>
www,80,tcp,6,World Wide Web HTTP,,,"This is a duplicate of the ""http"" service and should not be used for discovery purposes."
www,80,udp,17,World Wide Web HTTP,,,"This is a duplicate of the ""http"" service and should not be used for discovery purposes."
www-http,80,tcp,6,World Wide Web HTTP,,,"This is a duplicate of the ""http"" service and should not be used for discovery purposes.
      u=<username> p=<password> path=<path to document>
        (see txtrecords.html#http)
        Known Subtypes: _printer
        NOTE: The meaning of this service type, though called just ""http"", actually
        denotes something more precise than just ""any data transported using HTTP"".
        The DNS-SD service type ""http"" should only be used to advertise content that:
        * is served over HTTP,
        * can be displayed by ""typical"" web browser client software, and
        * is intented primarily to be viewed by a human user.
        Of course, the definition of ""typical web browser"" is subjective, and may
        change over time, but for practical purposes the DNS-SD service type ""http""
        can be understood as meaning ""human-readable HTML content served over HTTP"".
        In some cases other widely-supported content types may also be appropriate,
        such as plain text over HTTP, or JPEG image over HTTP.
        Content types not intented primarily for viewing by a human user, or not
        widely-supported in web browsing clients, should not be advertised as
        DNS-SD service type ""http"", even if they do happen to be transported over HTTP.
        Such types should be advertised as their own logical service type with their
        own DNS-SD service type, for example, XUL (XML User Interface Language)
        transported over HTTP is advertised explicitly as DNS-SD service type ""xul-http""."
